gene,in_ST,in_scRNA,exact_overlap,case_insensitive_overlap,used_for_formal_overlap
A1BG,True,False,False,False,False
A1BG-AS1,True,False,False,False,False
A1CF,True,False,False,False,False
A2M,True,True,True,True,True
A2M-AS1,True,False,False,False,False
A2ML1,True,False,False,False,False
A2ML1-AS1,True,False,False,False,False
A2ML1-AS2,True,False,False,False,False
A3GALT2,True,False,False,False,False
A4GALT,True,False,False,False,False
A4GNT,True,False,False,False,False
AAAS,True,False,False,False,False
AACS,True,False,False,False,False
AADAC,True,False,False,False,False
AADACL2,True,False,False,False,False
AADACL2-AS1,True,False,False,False,False
AADACL3,True,False,False,False,False
AADACL4,True,False,False,False,False
AADAT,True,False,False,False,False
AAED1,True,False,False,False,False
AAGAB,True,False,False,False,False
AAK1,True,False,False,False,False
AAMDC,True,False,False,False,False
AAMP,True,False,False,False,False
AANAT,True,False,False,False,False
AAR2,True,False,False,False,False
AARD,True,False,False,False,False
AARS,True,False,False,False,False
AARS2,True,False,False,False,False
AARSD1,True,False,False,False,False
AASDH,True,False,False,False,False
AASDHPPT,True,False,False,False,False
AASS,True,False,False,False,False
AATBC,True,False,False,False,False
AATF,True,False,False,False,False
AATK,True,False,False,False,False
AB015752.1,True,False,False,False,False
ABALON,True,False,False,False,False
ABAT,True,False,False,False,False
ABCA1,True,False,False,False,False
ABCA10,True,False,False,False,False
ABCA12,True,False,False,False,False
ABCA13,True,False,False,False,False
ABCA2,True,False,False,False,False
ABCA3,True,False,False,False,False
ABCA4,True,False,False,False,False
ABCA5,True,False,False,False,False
ABCA6,True,False,False,False,False
ABCA7,True,False,False,False,False
ABCA8,True,False,False,False,False
ABCA9,True,False,False,False,False
ABCA9-AS1,True,False,False,False,False
ABCB1,True,False,False,False,False
ABCB10,True,False,False,False,False
ABCB11,True,False,False,False,False
ABCB4,True,False,False,False,False
ABCB5,True,False,False,False,False
ABCB6,True,False,False,False,False
ABCB7,True,False,False,False,False
ABCB8,True,False,False,False,False
ABCB9,True,False,False,False,False
ABCC1,True,False,False,False,False
ABCC10,True,False,False,False,False
ABCC11,True,False,False,False,False
ABCC12,True,False,False,False,False
ABCC2,True,False,False,False,False
ABCC3,True,False,False,False,False
ABCC4,True,False,False,False,False
ABCC5,True,False,False,False,False
ABCC5-AS1,True,False,False,False,False
ABCC6,True,False,False,False,False
ABCC8,True,False,False,False,False
ABCC9,True,False,False,False,False
ABCD1,True,False,False,False,False
ABCD2,True,False,False,False,False
ABCD3,True,False,False,False,False
ABCD4,True,False,False,False,False
ABCE1,True,False,False,False,False
ABCF1,True,False,False,False,False
ABCF2,True,False,False,False,False
ABCF2.1,True,False,False,False,False
ABCF3,True,False,False,False,False
ABCG1,True,False,False,False,False
ABCG2,True,False,False,False,False
ABCG4,True,False,False,False,False
ABCG5,True,False,False,False,False
ABCG8,True,False,False,False,False
ABHD1,True,False,False,False,False
ABHD10,True,False,False,False,False
